"fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
6.3,0.3,0.34,1.6,0.049,14,41.2,0.994,3.3,0.49,9.5,51.6936899656113
8.1,0.28,0.4,6.9,0.05,30,69.7,0.9951,3.26,0.44,10.1,54.3636144587169
7.2,0.23,0.32,8.5,0.058,47,112.6,0.9956,3.19,0.4,9.9,57.1600580827835
7.2,0.23,0.32,8.5,0.058,47,112.6,0.9956,3.19,0.4,9.9,57.1600580827835
8.1,0.28,0.4,6.9,0.05,30,69.7,0.9951,3.26,0.44,10.1,54.3636144587169
6.2,0.32,0.16,7,0.045,30,73.6,0.9949,3.18,0.47,9.6,54.3059400709656
7,0.27,0.36,20.7,0.045,45,107,1.001,3,0.45,8.8,57.0017771685065
6.3,0.3,0.34,1.6,0.049,14,41.2,0.994,3.3,0.49,9.5,51.6936899656113
8.1,0.22,0.43,1.5,0.044,28,68.9,0.9938,3.22,0.45,11,54.028372078884
8.1,0.27,0.41,1.45,0.033,11,28.3,0.9908,2.99,0.56,12,40.9869589574235
8.6,0.23,0.4,4.2,0.035,17,44.9,0.9947,3.14,0.53,9.7,42.0701644468484
7.9,0.18,0.37,1.2,0.04,16,39.5,0.992,3.18,0.63,10.8,41.9287172557645
6.6,0.16,0.4,1.5,0.044,48,110.3,0.9912,3.54,0.52,12.4,67.5808545948858
8.3,0.42,0.62,19.25,0.04,41,99.2,1.0002,2.98,0.67,9.7,45.871751644856
6.6,0.17,0.38,1.5,0.032,28,67.2,0.9914,3.25,0.55,11.4,64.3567148636492
6.3,0.48,0.04,1.1,0.046,30,69.9,0.9928,3.24,0.36,9.6,53.9684281602378
6.2,0.66,0.48,1.2,0.029,29,65.5,0.9892,3.33,0.39,12.8,74.0456789205959
7.4,0.34,0.42,1.1,0.033,17,51.1,0.9917,3.12,0.53,11.3,52.0905219114591
6.5,0.31,0.14,7.5,0.044,34,81.3,0.9955,3.22,0.5,9.5,44.7307995695874
6.2,0.66,0.48,1.2,0.029,29,65.5,0.9892,3.33,0.39,12.8,74.0456789205959
6.4,0.31,0.38,2.9,0.038,19,48.2,0.9912,3.17,0.35,11,62.7325191208411
6.8,0.26,0.42,1.7,0.049,41,94.2,0.993,3.47,0.48,10.5,76.5538893680538
7.6,0.67,0.14,1.5,0.074,25,66.8,0.9937,3.05,0.51,9.3,42.6152456439633
6.6,0.27,0.41,1.3,0.052,16,46.2,0.9951,3.42,0.47,10,52.0612188223591
